time,open,high,low,close,accprice,volume
2018-01-25 15:42:00,13546000.0,13549000.0,13531000.0,13540000.0,253126880.51889,18.69482439
2018-01-25 15:43:00,13540000.0,13547000.0,13532000.0,13546000.0,160285684.10634,11.83827333
2018-01-25 15:44:00,13546000.0,13550000.0,13519000.0,13519000.0,317208434.47565,23.43516738
2018-01-25 15:45:00,13519000.0,13529000.0,13480000.0,13480000.0,455319743.18191,33.71433038
2018-01-25 15:46:00,13480000.0,13507000.0,13480000.0,13482000.0,399286649.30727,29.59011914
2018-01-25 15:47:00,13482000.0,13497000.0,13481000.0,13496000.0,194677797.29132,14.43716116
2018-01-25 15:48:00,13487000.0,13496000.0,13478000.0,13478000.0,187767160.16908002,13.92421282
2018-01-25 15:49:00,13480000.0,13483000.0,13461000.0,13470000.0,296406539.21278,21.99397079
2018-01-25 15:50:00,13465000.0,13470000.0,13437000.0,13437000.0,316607749.10247004,23.53426454
2018-01-25 15:51:00,13443000.0,13443000.0,13400000.0,13400000.0,434495558.6705,32.37607136
2018-01-25 15:52:00,13400000.0,13401000.0,13330000.0,13341000.0,713649221.25162,53.33243265
2018-01-25 15:53:00,13334000.0,13385000.0,13334000.0,13367000.0,630611895.03946,47.22191049
2018-01-25 15:54:00,13367000.0,13367000.0,13312000.0,13312000.0,521062421.71647,39.04301952
2018-01-25 15:55:00,13312000.0,13323000.0,13300000.0,13302000.0,611222251.0275,45.92865187
2018-01-25 15:56:00,13317000.0,13386000.0,13302000.0,13349000.0,702157066.35706,52.64245673
2018-01-25 15:57:00,13349000.0,13355000.0,13322000.0,13330000.0,500254336.18972003,37.52912347
2018-01-25 15:58:00,13331000.0,13333000.0,13307000.0,13307000.0,541863311.78683,40.656234399999995
2018-01-25 15:59:00,13307000.0,13318000.0,13250000.0,13256000.0,693663686.8752401,52.25187102
2018-01-25 16:00:00,13256000.0,13328000.0,13246000.0,13310000.0,592752225.52517,44.65604462
2018-01-25 16:01:00,13310000.0,13345000.0,13256000.0,13333000.0,574534051.67653,43.17549255
2018-01-25 16:02:00,13332000.0,13345000.0,13318000.0,13344000.0,378255594.78182,28.38074524
2018-01-25 16:03:00,13345000.0,13384000.0,13344000.0,13358000.0,471403837.76827997,35.26262447
2018-01-25 16:04:00,13358000.0,13371000.0,13356000.0,13370000.0,314748856.04225,23.55314955
2018-01-25 16:05:00,13371000.0,13383000.0,13359000.0,13359000.0,353065546.64927,26.39541672
2018-01-25 16:06:00,13360000.0,13373000.0,13340000.0,13372000.0,266547559.2485,19.95852762
2018-01-25 16:07:00,13361000.0,13400000.0,13352000.0,13394000.0,332987708.38412005,24.90335873
2018-01-25 16:08:00,13396000.0,13400000.0,13360000.0,13362000.0,322269339.20346004,24.07683631
2018-01-25 16:09:00,13362000.0,13372000.0,13351000.0,13370000.0,217870273.41431,16.30406003
2018-01-25 16:10:00,13370000.0,13370000.0,13353000.0,13353000.0,153829921.11348,11.51448881
2018-01-25 16:11:00,13363000.0,13368000.0,13349000.0,13362000.0,239019912.15167,17.89737706
2018-01-25 16:12:00,13367000.0,13367000.0,13351000.0,13351000.0,151780061.21842,11.36164426
2018-01-25 16:13:00,13354000.0,13354000.0,13301000.0,13301000.0,297288858.02411,22.28668365
2018-01-25 16:14:00,13301000.0,13331000.0,13250000.0,13271000.0,309640662.04653996,23.30823189
2018-01-25 16:15:00,13270000.0,13285000.0,13247000.0,13247000.0,498890049.13712,37.60001031
2018-01-25 16:16:00,13246000.0,13247000.0,13200000.0,13200000.0,557225527.3013,42.13841551
2018-01-25 16:17:00,13200000.0,13202000.0,13150000.0,13181000.0,647302034.6627901,49.13260508
2018-01-25 16:18:00,13181000.0,13256000.0,13176000.0,13256000.0,475091587.33859,35.9976919
2018-01-25 16:19:00,13196000.0,13256000.0,13196000.0,13210000.0,248127860.77196002,18.77976482
2018-01-25 16:20:00,13210000.0,13230000.0,13210000.0,13221000.0,172307391.61628002,13.03278427
2018-01-25 16:21:00,13221000.0,13230000.0,13214000.0,13223000.0,202347855.55523998,15.30106441
2018-01-25 16:22:00,13221000.0,13227000.0,13173000.0,13173000.0,403876176.0838,30.56385327
2018-01-25 16:23:00,13173000.0,13173000.0,13112000.0,13114000.0,531458902.69938,40.45730469
2018-01-25 16:24:00,13112000.0,13150000.0,13102000.0,13121000.0,486080135.24197996,37.06451622
2018-01-25 16:25:00,13121000.0,13123000.0,13110000.0,13110000.0,291659463.49786,22.24034007
2018-01-25 16:26:00,13111000.0,13111000.0,13032000.0,13054000.0,902589062.0284301,68.98949357
2018-01-25 16:27:00,13041000.0,13110000.0,13041000.0,13110000.0,544484311.83772,41.64885586
2018-01-25 16:28:00,13081000.0,13174000.0,13081000.0,13150000.0,631951772.91441,48.10323591
2018-01-25 16:29:00,13164000.0,13164000.0,13084000.0,13084000.0,223628745.40422997,17.04131275
2018-01-25 16:30:00,13084000.0,13160000.0,13084000.0,13157000.0,314543553.79707,23.96314001
2018-01-25 16:31:00,13150000.0,13175000.0,13143000.0,13175000.0,430203077.15226,32.69560379
2018-01-25 16:32:00,13180000.0,13239000.0,13175000.0,13222000.0,416593393.01477003,31.51265139
2018-01-25 16:33:00,13222000.0,13245000.0,13201000.0,13245000.0,213019835.69181,16.11118102
2018-01-25 16:34:00,13239000.0,13245000.0,13170000.0,13170000.0,285316710.17691,21.58307451
2018-01-25 16:35:00,13170000.0,13278000.0,13169000.0,13275000.0,618827450.65221,46.71386334
2018-01-25 16:36:00,13273000.0,13282000.0,13256000.0,13271000.0,288086949.70102996,21.70988169
2018-01-25 16:37:00,13270000.0,13272000.0,13260000.0,13263000.0,164418264.83926,12.39047299
2018-01-25 16:38:00,13263000.0,13263000.0,13190000.0,13200000.0,440306545.2894,33.27255347
2018-01-25 16:39:00,13200000.0,13228000.0,13183000.0,13207000.0,170854166.88663,12.9436521
2018-01-25 16:40:00,13222000.0,13222000.0,13189000.0,13192000.0,300914945.14378,22.78631264
2018-01-25 16:41:00,13192000.0,13231000.0,13192000.0,13210000.0,193218887.62295,14.62425944
2018-01-25 16:42:00,13207000.0,13210000.0,13183000.0,13189000.0,396067732.42867005,30.01254924
2018-01-25 16:43:00,13189000.0,13230000.0,13189000.0,13215000.0,135809144.59296,10.28654294
2018-01-25 16:44:00,13205000.0,13227000.0,13205000.0,13220000.0,169325313.20177,12.81537068
2018-01-25 16:45:00,13212000.0,13225000.0,13211000.0,13225000.0,265995373.54891002,20.12193472
2018-01-25 16:46:00,13225000.0,13227000.0,13212000.0,13226000.0,130433599.27698,9.86383519
2018-01-25 16:47:00,13226000.0,13260000.0,13224000.0,13236000.0,303551285.94396,22.93363861
2018-01-25 16:48:00,13252000.0,13253000.0,13236000.0,13244000.0,367050170.8019,27.70529339
2018-01-25 16:49:00,13248000.0,13261000.0,13244000.0,13261000.0,377340556.33867,28.476359600000002
2018-01-25 16:50:00,13261000.0,13310000.0,13260000.0,13301000.0,446911686.10159004,33.61587328
2018-01-25 16:51:00,13300000.0,13377000.0,13299000.0,13350000.0,847856389.9702901,63.51959584
2018-01-25 16:52:00,13350000.0,13359000.0,13300000.0,13327000.0,299683153.3879,22.48750053
2018-01-25 16:53:00,13327000.0,13369000.0,13313000.0,13332000.0,267987694.93576002,20.09619133
2018-01-25 16:54:00,13332000.0,13357000.0,13332000.0,13350000.0,316117098.64542,23.68227329
2018-01-25 16:55:00,13357000.0,13359000.0,13335000.0,13337000.0,188945395.54318002,14.14934738
2018-01-25 16:56:00,13335000.0,13337000.0,13316000.0,13317000.0,128458919.07543999,9.643382699999998
2018-01-25 16:57:00,13317000.0,13317000.0,13231000.0,13240000.0,284986424.64059,21.46582002
2018-01-25 16:58:00,13231000.0,13240000.0,13220000.0,13225000.0,210763172.18023,15.93266937
2018-01-25 16:59:00,13225000.0,13227000.0,13206000.0,13210000.0,245540206.7965,18.58339116
2018-01-25 17:00:00,13207000.0,13250000.0,13199000.0,13240000.0,258826882.00535,19.58499418
2018-01-25 17:01:00,13240000.0,13272000.0,13206000.0,13231000.0,160025883.30288002,12.09256028
2018-01-25 17:02:00,13231000.0,13231000.0,13167000.0,13170000.0,238192512.85084,18.04447446
2018-01-25 17:03:00,13167000.0,13204000.0,13160000.0,13203000.0,231632335.72207,17.56686177
2018-01-25 17:04:00,13203000.0,13222000.0,13202000.0,13218000.0,65557029.85598,4.96390482
2018-01-25 17:05:00,13218000.0,13223000.0,13209000.0,13209000.0,91829776.02077,6.94588193
2018-01-25 17:06:00,13209000.0,13209000.0,13183000.0,13185000.0,141208087.56649,10.70176434
2018-01-25 17:07:00,13185000.0,13189000.0,13173000.0,13173000.0,137211400.48943,10.40734735
2018-01-25 17:08:00,13178000.0,13180000.0,13160000.0,13170000.0,81255413.90162,6.16968808
2018-01-25 17:09:00,13170000.0,13187000.0,13152000.0,13160000.0,170737624.21448,12.96749874
2018-01-25 17:10:00,13160000.0,13167000.0,13117000.0,13122000.0,198227490.51158,15.08541462
2018-01-25 17:11:00,13122000.0,13124000.0,13082000.0,13103000.0,411368813.10769,31.390030499999998
2018-01-25 17:12:00,13103000.0,13154000.0,13085000.0,13130000.0,333342558.82005,25.40469227
2018-01-25 17:13:00,13130000.0,13149000.0,13110000.0,13110000.0,225235512.22989,17.15492396
2018-01-25 17:14:00,13110000.0,13110000.0,13084000.0,13084000.0,132956811.2295,10.14758429
2018-01-25 17:15:00,13085000.0,13089000.0,13059000.0,13060000.0,385208104.41731,29.4699886
2018-01-25 17:16:00,13062000.0,13100000.0,13059000.0,13081000.0,274511369.52389,20.99818406
2018-01-25 17:17:00,13080000.0,13082000.0,13022000.0,13022000.0,439444460.25561,33.67671761
2018-01-25 17:18:00,13022000.0,13022000.0,12974000.0,12974000.0,1039465255.41093,79.93932736
2018-01-25 17:19:00,12974000.0,12980000.0,12928000.0,12944000.0,820072021.51537,63.30314646
2018-01-25 17:20:00,12944000.0,13028000.0,12930000.0,13028000.0,740443300.9199599,57.07153487
2018-01-25 17:21:00,13028000.0,13100000.0,13000000.0,13060000.0,409681954.38686,31.47504877
2018-01-25 17:22:00,13050000.0,13060000.0,13028000.0,13033000.0,335117381.5982,25.69634963
2018-01-25 17:23:00,13033000.0,13052000.0,13000000.0,13000000.0,420590824.91846,32.28260297
2018-01-25 17:24:00,13000000.0,13030000.0,12985000.0,13021000.0,226938196.23295,17.45526044
2018-01-25 17:25:00,13022000.0,13022000.0,12995000.0,13007000.0,158343599.98505,12.17401186
2018-01-25 17:26:00,13006000.0,13008000.0,12977000.0,12980000.0,322890837.55858,24.84623514
2018-01-25 17:27:00,12980000.0,12996000.0,12975000.0,12975000.0,288554119.135,22.2258968
2018-01-25 17:28:00,12975000.0,12992000.0,12950000.0,12982000.0,344346848.41501004,26.55508594
