time,close,simple_ma,weighted_ma,momentum,stochastic_k,stochastic_d,rsi,macd,larry_williams_r,cci,volume
2018-01-25 16:02:00,13344000.0,13321000.0,13318072.727272728,3000.0,0.632258064516129,0.28421241487766147,46.075085324232084,-1827.9308154691607,36.774193548387096,15.775603103508574,28.38074524
2018-01-25 16:03:00,13358000.0,13320100.0,13324800.0,-9000.0,0.8,0.4370695577348044,59.12698412698413,2514.50995827491,20.0,49.11092294664691,35.26262447
2018-01-25 16:04:00,13370000.0,13325900.0,13333872.727272727,58000.0,0.8857142857142857,0.6090622002853868,63.38582677165354,6342.992116864225,11.428571428571429,55.677054856923895,23.55314955
2018-01-25 16:05:00,13359000.0,13331600.0,13339890.90909091,57000.0,0.8071428571428572,0.713347914571101,52.293577981651374,8166.376381593509,19.28571428571429,57.92926868298254,26.39541672
2018-01-25 16:06:00,13372000.0,13333900.0,13347236.363636363,23000.0,0.9,0.8050230414746544,59.905660377358494,10150.430423456979,10.0,49.994305887705,19.95852762
2018-01-25 16:07:00,13394000.0,13340300.0,13358163.636363637,64000.0,0.961038961038961,0.8707792207792208,70.61611374407583,12682.405867773137,3.896103896103896,77.82392984884386,24.90335873
2018-01-25 16:08:00,13362000.0,13345800.0,13362109.09090909,55000.0,0.7532467532467533,0.8614285714285715,77.60416666666666,11950.017880948653,24.675324675324674,57.15684474634127,24.07683631
2018-01-25 16:09:00,13370000.0,13357200.0,13366509.09090909,114000.0,0.8051948051948052,0.8453246753246756,70.54794520547945,11735.453169913904,19.480519480519483,27.676298018375505,16.30406003
2018-01-25 16:10:00,13353000.0,13361500.0,13365745.454545453,43000.0,0.6948051948051948,0.8228571428571432,57.14285714285714,10234.508825887693,30.519480519480517,1.1012282930884103,11.51448881
2018-01-25 16:11:00,13362000.0,13364400.0,13365836.363636361,29000.0,0.7361111111111112,0.7900793650793653,56.52173913043478,9641.901375343463,26.38888888888889,-8.941485864573965,17.89737706
2018-01-25 16:12:00,13351000.0,13365100.0,13363399.999999998,7000.0,0.4024390243902439,0.678359377749622,47.40740740740741,8351.358234074265,59.756097560975604,-23.65273484747453,11.36164426
2018-01-25 16:13:00,13301000.0,13359400.0,13351745.454545453,-57000.0,0.0,0.5277100271002713,30.057803468208093,4183.091603495421,100.0,-112.55064333736057,22.28668365
2018-01-25 16:14:00,13271000.0,13349500.0,13335672.727272727,-99000.0,0.14,0.39467106606131025,27.083333333333332,-303.5497704682821,86.0,-164.9046932564591,23.30823189
2018-01-25 16:15:00,13247000.0,13338300.0,13317036.363636363,-112000.0,0.0,0.2557100271002713,19.21182266009852,-4370.947276760187,100.0,-169.46591104242793,37.60001031
2018-01-25 16:16:00,13200000.0,13321100.0,13291890.90909091,-172000.0,0.0,0.10848780487804906,7.456140350877193,-9420.195145374772,100.0,-183.3661848445047,42.13841551
2018-01-25 16:17:00,13181000.0,13299800.0,13266418.181818182,-213000.0,0.124,0.05280000000000027,7.906976744186046,-13011.792765591032,87.6,-175.74644630347333,49.13260508
2018-01-25 16:18:00,13256000.0,13289200.0,13258454.545454545,-106000.0,0.424,0.13760000000000025,29.78723404255319,-9472.96906081566,57.599999999999994,-80.53976970393647,35.9976919
2018-01-25 16:19:00,13210000.0,13273200.0,13244054.545454545,-160000.0,0.2702702702702703,0.1636540540540543,27.009646302250808,-9350.792904248665,72.97297297297297,-67.46241743595851,18.77976482
2018-01-25 16:20:00,13221000.0,13260000.0,13234563.636363635,-132000.0,0.32272727272727275,0.22819950859950885,27.47603833865815,-7717.590729342563,67.72727272727272,-47.91552885490536,13.03278427
2018-01-25 16:21:00,13223000.0,13246100.0,13227836.363636361,-139000.0,0.3348623853211009,0.29517198566372904,28.947368421052634,-5779.690900306232,66.5137614678899,-29.53320736230614,15.30106441
2018-01-25 16:22:00,13173000.0,13228300.0,13214545.454545453,-178000.0,0.10599078341013825,0.29157014234575673,28.947368421052634,-7057.745829746884,89.40092165898618,-42.77080427708124,30.56385327
2018-01-25 16:23:00,13114000.0,13209600.0,13193763.636363637,-187000.0,0.008264462809917356,0.2084230349077402,26.426426426426424,-10842.774091093845,99.17355371900827,-77.40136885464163,40.45730469
2018-01-25 16:24:00,13121000.0,13194600.0,13177654.545454547,-150000.0,0.08296943231441048,0.17096286731656823,30.063291139240505,-11764.028545428104,91.70305676855895,-69.9074936363076,37.06451622
2018-01-25 16:25:00,13110000.0,13180900.0,13162272.727272727,-137000.0,0.04371584699453552,0.11516058217002081,33.92857142857143,-11963.93672529015,95.62841530054644,-66.77712031558197,22.24034007
2018-01-25 16:26:00,13054000.0,13166300.0,13139199.999999998,-146000.0,0.09821428571428571,0.06783096224865777,29.96845425867508,-14545.766157935286,90.17857142857143,-99.7033776672089,68.98949357
2018-01-25 16:27:00,13110000.0,13159200.0,13128963.636363637,-71000.0,0.3482142857142857,0.11627566270948726,25.503355704697988,-11304.462830253622,65.17857142857143,-76.71517671517569,41.64885586
2018-01-25 16:28:00,13150000.0,13148600.0,13127290.909090906,-106000.0,0.5267857142857143,0.21997991300464664,39.726027397260275,-5578.564641298894,47.32142857142857,-18.349309565185578,48.10323591
2018-01-25 16:29:00,13084000.0,13136000.0,13115545.454545453,-126000.0,0.23214285714285715,0.24981459797033598,30.25936599423631,-5347.489259989692,76.78571428571429,-34.92268798871271,17.04131275
2018-01-25 16:30:00,13157000.0,13129600.0,13119363.636363637,-64000.0,0.6313131313131313,0.3673340548340551,42.10526315789473,310.2675649376615,36.868686868686865,2.497037413235292,23.96314001
2018-01-25 16:31:00,13175000.0,13124800.0,13127618.181818182,-48000.0,0.7222222222222222,0.4921356421356425,50.259067357512954,5562.095552159997,27.77777777777778,47.85920345349721,32.69560379
2018-01-25 16:32:00,13222000.0,13129700.0,13145290.90909091,49000.0,0.9178743961352657,0.6060676642198385,64.43850267379679,12122.220816584348,8.212560386473431,97.14913548834559,31.51265139
2018-01-25 16:33:00,13245000.0,13142800.0,13166254.545454545,131000.0,1.0,0.7007105213626955,65.8974358974359,17599.215937036308,0.0,105.22727272727084,16.11118102
